,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Punto de Partida - En Vivo Entre Amigos,0.509,0.775,4,-7.304,1,0.0478,0.00426,1.7e-06,0.816,0.415,142.095,audio_features,7DBrWvscj1r0PBoWHcHx9l,spotify:track:7DBrWvscj1r0PBoWHcHx9l,https://api.spotify.com/v1/tracks/7DBrWvscj1r0PBoWHcHx9l,https://api.spotify.com/v1/audio-analysis/7DBrWvscj1r0PBoWHcHx9l,241787,4
King Of Hearts,0.651,0.638,11,-6.024,0,0.108,0.161,0,0.325,0.409,149.902,audio_features,04uvFToQGZkrdWkm65gxmu,spotify:track:04uvFToQGZkrdWkm65gxmu,https://api.spotify.com/v1/tracks/04uvFToQGZkrdWkm65gxmu,https://api.spotify.com/v1/audio-analysis/04uvFToQGZkrdWkm65gxmu,198268,4
Imagination,0.816,0.0965,7,-22.035,1,0.0379,0.715,0.785,0.108,0.847,110.008,audio_features,1VLCctJbr8AjrZQ0KoyJ4A,spotify:track:1VLCctJbr8AjrZQ0KoyJ4A,https://api.spotify.com/v1/tracks/1VLCctJbr8AjrZQ0KoyJ4A,https://api.spotify.com/v1/audio-analysis/1VLCctJbr8AjrZQ0KoyJ4A,104777,5
TKM,0.546,0.508,7,-11.842,1,0.0258,0.14,0.0969,0.345,0.485,71.988,audio_features,7eAp42zD2PbKJMvHVcHHF8,spotify:track:7eAp42zD2PbKJMvHVcHHF8,https://api.spotify.com/v1/tracks/7eAp42zD2PbKJMvHVcHHF8,https://api.spotify.com/v1/audio-analysis/7eAp42zD2PbKJMvHVcHHF8,338000,4
Apagando el Fuego,0.71,0.498,0,-12.549,1,0.0323,0.0315,0.875,0.102,0.605,113.989,audio_features,2NqbDx1CDEcUYwAetQFN9U,spotify:track:2NqbDx1CDEcUYwAetQFN9U,https://api.spotify.com/v1/tracks/2NqbDx1CDEcUYwAetQFN9U,https://api.spotify.com/v1/audio-analysis/2NqbDx1CDEcUYwAetQFN9U,222282,4
Vive Y Disfruta,0.776,0.725,11,-5.191,1,0.0751,0.117,0,0.142,0.528,109.847,audio_features,05DDI0GbLFd0oAfWuSrI8y,spotify:track:05DDI0GbLFd0oAfWuSrI8y,https://api.spotify.com/v1/tracks/05DDI0GbLFd0oAfWuSrI8y,https://api.spotify.com/v1/audio-analysis/05DDI0GbLFd0oAfWuSrI8y,189458,4
Sakuramitsutsuki,0.293,0.905,8,-4.077,1,0.0543,0.000281,0.000523,0.195,0.343,179.055,audio_features,3dMpqLq5R2cMqHPEz0ypYv,spotify:track:3dMpqLq5R2cMqHPEz0ypYv,https://api.spotify.com/v1/tracks/3dMpqLq5R2cMqHPEz0ypYv,https://api.spotify.com/v1/audio-analysis/3dMpqLq5R2cMqHPEz0ypYv,217227,4
So Fresh,0.725,0.64,5,-7.905,0,0.332,0.0278,0,0.099,0.915,166.029,audio_features,6glsMWIMIxQ4BedzLqGVi4,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/tracks/6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/audio-analysis/6glsMWIMIxQ4BedzLqGVi4,240027,3
Cuando Me Lo Pidas,0.589,0.694,4,-7.198,0,0.0516,0.832,0.868,0.1,0.947,160.288,audio_features,1A7mAX9YwOxJKDfI2wxvR9,spotify:track:1A7mAX9YwOxJKDfI2wxvR9,https://api.spotify.com/v1/tracks/1A7mAX9YwOxJKDfI2wxvR9,https://api.spotify.com/v1/audio-analysis/1A7mAX9YwOxJKDfI2wxvR9,175000,3
Morning,0.462,0.438,10,-8.227,1,0.0953,0.563,0,0.181,0.342,107.364,audio_features,54Yappwod1fELR5zb2gDBn,spotify:track:54Yappwod1fELR5zb2gDBn,https://api.spotify.com/v1/tracks/54Yappwod1fELR5zb2gDBn,https://api.spotify.com/v1/audio-analysis/54Yappwod1fELR5zb2gDBn,206080,3
Reminisce.,0.688,0.302,9,-16.802,1,0.352,0.91,0.871,0.103,0.835,139.525,audio_features,2H1G5ubtYJiPGbUJG5ve13,spotify:track:2H1G5ubtYJiPGbUJG5ve13,https://api.spotify.com/v1/tracks/2H1G5ubtYJiPGbUJG5ve13,https://api.spotify.com/v1/audio-analysis/2H1G5ubtYJiPGbUJG5ve13,79216,3
The Best Moment,0.448,0.466,3,-10.93,1,0.255,0.76,0.108,0.0955,0.563,162.688,audio_features,6gIPjfVx0TRu7OQYgGAS9M,spotify:track:6gIPjfVx0TRu7OQYgGAS9M,https://api.spotify.com/v1/tracks/6gIPjfVx0TRu7OQYgGAS9M,https://api.spotify.com/v1/audio-analysis/6gIPjfVx0TRu7OQYgGAS9M,82963,4
slopes,0.783,0.0898,11,-15.483,0,0.0891,0.877,0.907,0.093,0.0957,74.987,audio_features,3dhsXcYsa5dStmDD9W0CFl,spotify:track:3dhsXcYsa5dStmDD9W0CFl,https://api.spotify.com/v1/tracks/3dhsXcYsa5dStmDD9W0CFl,https://api.spotify.com/v1/audio-analysis/3dhsXcYsa5dStmDD9W0CFl,179201,3
Couch Day,0.867,0.0866,9,-21.667,1,0.0974,0.357,0.44,0.1,0.493,132.002,audio_features,4KXQ8urNvqvr0owWsp1u5e,spotify:track:4KXQ8urNvqvr0owWsp1u5e,https://api.spotify.com/v1/tracks/4KXQ8urNvqvr0owWsp1u5e,https://api.spotify.com/v1/audio-analysis/4KXQ8urNvqvr0owWsp1u5e,152750,4
3 Nights,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,audio_features,1tNJrcVe6gwLEiZCtprs1u,spotify:track:1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,177667,4
Infinite Memories (Memoriae),0.762,0.339,6,-10.767,1,0.302,0.687,0.845,0.149,0.412,166.133,audio_features,0uwMyFxSji1QuWJjmJOm6F,spotify:track:0uwMyFxSji1QuWJjmJOm6F,https://api.spotify.com/v1/tracks/0uwMyFxSji1QuWJjmJOm6F,https://api.spotify.com/v1/audio-analysis/0uwMyFxSji1QuWJjmJOm6F,130119,4
Over the Top! (One Piece),0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
Sora Ni Utaeba,0.594,0.951,6,-1.339,0,0.0696,0.0142,1.18e-06,0.0965,0.641,102.04,audio_features,6wZcefZGc6vrd3zLCQoOYe,spotify:track:6wZcefZGc6vrd3zLCQoOYe,https://api.spotify.com/v1/tracks/6wZcefZGc6vrd3zLCQoOYe,https://api.spotify.com/v1/audio-analysis/6wZcefZGc6vrd3zLCQoOYe,217627,4
Cha-La Head Cha-La (DBZ),0.411,0.873,2,-4.765,1,0.0339,7.08e-05,0.000304,0.281,0.216,163.06,audio_features,3bjoeArGq1nwrvIZuXKHNg,spotify:track:3bjoeArGq1nwrvIZuXKHNg,https://api.spotify.com/v1/tracks/3bjoeArGq1nwrvIZuXKHNg,https://api.spotify.com/v1/audio-analysis/3bjoeArGq1nwrvIZuXKHNg,199437,4
Let Me Hear,0.175,0.995,6,1.023,0,0.211,0.000145,2.5e-06,0.214,0.303,184.066,audio_features,5sqkarfxe7UejHTlCtHCLS,spotify:track:5sqkarfxe7UejHTlCtHCLS,https://api.spotify.com/v1/tracks/5sqkarfxe7UejHTlCtHCLS,https://api.spotify.com/v1/audio-analysis/5sqkarfxe7UejHTlCtHCLS,225547,4
BRAND NEW WORLD (第264話〜278話 OP),0.538,0.865,8,-4.884,1,0.0413,0.00027,0,0.37,0.497,160.034,audio_features,0oHXDtUbzb9nRNLFlxXXco,spotify:track:0oHXDtUbzb9nRNLFlxXXco,https://api.spotify.com/v1/tracks/0oHXDtUbzb9nRNLFlxXXco,https://api.spotify.com/v1/audio-analysis/0oHXDtUbzb9nRNLFlxXXco,258000,4
Siento Bonito,0.655,0.903,5,-4.825,1,0.0709,0.171,0,0.207,0.778,96.954,audio_features,154MNktlQMIHqyOL1vrPIu,spotify:track:154MNktlQMIHqyOL1vrPIu,https://api.spotify.com/v1/tracks/154MNktlQMIHqyOL1vrPIu,https://api.spotify.com/v1/audio-analysis/154MNktlQMIHqyOL1vrPIu,223427,4
New Page,0.604,0.733,2,-5.788,1,0.0348,0.105,0,0.25,0.399,124.885,audio_features,2gApWgkuisXedOcS9Tligs,spotify:track:2gApWgkuisXedOcS9Tligs,https://api.spotify.com/v1/tracks/2gApWgkuisXedOcS9Tligs,https://api.spotify.com/v1/audio-analysis/2gApWgkuisXedOcS9Tligs,270904,4
