,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3324,Shoukei to Shikabane no Michi [TV Size],2019-08-11 06:04,Linked Horizon,Shoukei to Shikabane no Michi [TV Size],42187,2019-08-11 06:04:00,0.408,0.943,0,-4.579,0,0.0913,0.226,0.0,0.352,0.807,178.076,audio_features,0q8WLWTRdN7XcNCoZIxCu9,spotify:track:0q8WLWTRdN7XcNCoZIxCu9,https://api.spotify.com/v1/tracks/0q8WLWTRdN7XcNCoZIxCu9,https://api.spotify.com/v1/audio-analysis/0q8WLWTRdN7XcNCoZIxCu9,90090,4
3325,ウィーアー! (ワンピース) - LIVE,2019-08-11 06:04,Hiroshi Kitadani,ウィーアー! (ワンピース) - LIVE,13676,2019-08-11 06:04:00,0.332,0.975,8,-6.182,1,0.106,0.206,0.0,0.981,0.268,167.874,audio_features,42esJ6BgSoV1DS3Onns03h,spotify:track:42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/tracks/42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/audio-analysis/42esJ6BgSoV1DS3Onns03h,262013,4
3326,ウィーアー!,2019-08-11 06:05,AAA,ウィーアー!,12236,2019-08-11 06:05:00,0.332,0.975,8,-6.182,1,0.106,0.206,0.0,0.981,0.268,167.874,audio_features,42esJ6BgSoV1DS3Onns03h,spotify:track:42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/tracks/42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/audio-analysis/42esJ6BgSoV1DS3Onns03h,262013,4
3327,Over the Top! (One Piece),2019-08-11 06:05,Nordex,Over the Top! (One Piece),38545,2019-08-11 06:05:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3328,Fight Together (One Piece Opening 14),2019-08-11 06:06,PelleK,Fight Together (One Piece Opening 14),2089,2019-08-11 06:06:00,0.594,0.671,2,-7.667,1,0.0923,0.0234,7.12e-06,0.129,0.262,128.981,audio_features,6PNyPe4QERU7hqMQU05vJE,spotify:track:6PNyPe4QERU7hqMQU05vJE,https://api.spotify.com/v1/tracks/6PNyPe4QERU7hqMQU05vJE,https://api.spotify.com/v1/audio-analysis/6PNyPe4QERU7hqMQU05vJE,147748,4
3329,Jungle P (第326話〜372話 OP),2019-08-11 06:06,Yuuki Okamoto,Jungle P (第326話〜372話 OP),17484,2019-08-11 06:06:00,0.588,0.937,6,-1.707,1,0.0797,0.0781,0.0,0.359,0.89,144.968,audio_features,7acjxFn1oZOn8QAv43DOcN,spotify:track:7acjxFn1oZOn8QAv43DOcN,https://api.spotify.com/v1/tracks/7acjxFn1oZOn8QAv43DOcN,https://api.spotify.com/v1/audio-analysis/7acjxFn1oZOn8QAv43DOcN,195310,4
3330,ヒカリへ (第116話〜168話 OP),2019-08-11 06:06,Muray,ヒカリへ (第116話〜168話 OP),2902,2019-08-11 06:06:00,0.558,0.907,5,-3.127,1,0.0374,0.00358,1.32e-06,0.122,0.5,94.497,audio_features,68LQO4WzR0CLjt2knfsbhQ,spotify:track:68LQO4WzR0CLjt2knfsbhQ,https://api.spotify.com/v1/tracks/68LQO4WzR0CLjt2knfsbhQ,https://api.spotify.com/v1/audio-analysis/68LQO4WzR0CLjt2knfsbhQ,223277,4
3331,One Day (One Piece Opening 13),2019-08-11 06:06,PelleK,One Day (One Piece Opening 13),1509,2019-08-11 06:06:00,0.452,0.69,11,-6.551,1,0.0398,0.0078,0.00154,0.086,0.64,177.907,audio_features,602k5g4l0ti7TDfAqH25jZ,spotify:track:602k5g4l0ti7TDfAqH25jZ,https://api.spotify.com/v1/tracks/602k5g4l0ti7TDfAqH25jZ,https://api.spotify.com/v1/audio-analysis/602k5g4l0ti7TDfAqH25jZ,153321,4
3332,BON VOYAGE! (第169話〜206話 OP),2019-08-11 06:06,Mika Ogawa,BON VOYAGE! (第169話〜206話 OP),1369,2019-08-11 06:06:00,0.585,0.87,0,-4.694,1,0.0393,0.000901,0.00251,0.45,0.466,135.027,audio_features,60YLtFVNTYVeOpzzV4xxWd,spotify:track:60YLtFVNTYVeOpzzV4xxWd,https://api.spotify.com/v1/tracks/60YLtFVNTYVeOpzzV4xxWd,https://api.spotify.com/v1/audio-analysis/60YLtFVNTYVeOpzzV4xxWd,270222,4
3333,"We Go! (From ""One Piece"")",2019-08-11 06:06,PelleK,"We Go! (From ""One Piece"")",1300,2019-08-11 06:06:00,0.474,0.882,7,-6.297,1,0.161,0.0025,0.000908,0.349,0.468,175.988,audio_features,4cqWIi7MIWh2Af1JNqrTax,spotify:track:4cqWIi7MIWh2Af1JNqrTax,https://api.spotify.com/v1/tracks/4cqWIi7MIWh2Af1JNqrTax,https://api.spotify.com/v1/audio-analysis/4cqWIi7MIWh2Af1JNqrTax,127910,4
3334,風をさがして (第426話〜458話 OP),2019-08-11 06:06,Reiko Nakanishi,風をさがして (第426話〜458話 OP),1996,2019-08-11 06:06:00,0.599,0.856,11,-4.21,1,0.0352,0.0697,7.55e-05,0.131,0.699,157.892,audio_features,1iGJUdyHTLPb90RQmOBXzF,spotify:track:1iGJUdyHTLPb90RQmOBXzF,https://api.spotify.com/v1/tracks/1iGJUdyHTLPb90RQmOBXzF,https://api.spotify.com/v1/audio-analysis/1iGJUdyHTLPb90RQmOBXzF,248354,4
3335,Share The World! (One Piece Opening 11),2019-08-11 06:06,PelleK,Share The World! (One Piece Opening 11),2368,2019-08-11 06:06:00,0.647,0.8,1,-6.669,1,0.0862,0.00151,0.000133,0.337,0.387,120.008,audio_features,62EprcHsFmf62N0mOkX37S,spotify:track:62EprcHsFmf62N0mOkX37S,https://api.spotify.com/v1/tracks/62EprcHsFmf62N0mOkX37S,https://api.spotify.com/v1/audio-analysis/62EprcHsFmf62N0mOkX37S,148495,4
3336,Kaze Wo Sagashite (One Piece Opening 12),2019-08-11 06:06,PelleK,Kaze Wo Sagashite (One Piece Opening 12),1532,2019-08-11 06:06:00,0.573,0.824,11,-6.19,1,0.147,0.0188,1.01e-05,0.204,0.581,158.043,audio_features,686By4owVHDDudZJ7yEEfy,spotify:track:686By4owVHDDudZJ7yEEfy,https://api.spotify.com/v1/tracks/686By4owVHDDudZJ7yEEfy,https://api.spotify.com/v1/audio-analysis/686By4owVHDDudZJ7yEEfy,150488,4
3337,Believe (第48話〜115話 OP),2019-08-11 06:06,Recitativo,Believe (第48話〜115話 OP),5596,2019-08-11 06:06:00,0.471,0.988,11,-1.908,0,0.0586,0.00457,0.000159,0.12,0.799,154.919,audio_features,4vFDgTQ99ya7fvaH58muFn,spotify:track:4vFDgTQ99ya7fvaH58muFn,https://api.spotify.com/v1/tracks/4vFDgTQ99ya7fvaH58muFn,https://api.spotify.com/v1/audio-analysis/4vFDgTQ99ya7fvaH58muFn,226210,4
3338,ココロのちず (第207話〜263話 OP),2019-08-11 06:06,高比良純,ココロのちず (第207話〜263話 OP),11145,2019-08-11 06:06:00,0.608,0.813,1,-4.685,1,0.0288,0.000978,1.27e-05,0.295,0.54,131.996,audio_features,7ImRqM49RRIZa6MIICEraO,spotify:track:7ImRqM49RRIZa6MIICEraO,https://api.spotify.com/v1/tracks/7ImRqM49RRIZa6MIICEraO,https://api.spotify.com/v1/audio-analysis/7ImRqM49RRIZa6MIICEraO,263361,4
3339,Fight Together (One Piece Opening 14),2019-08-11 06:07,PelleK,Fight Together (One Piece Opening 14),3250,2019-08-11 06:07:00,0.594,0.671,2,-7.667,1,0.0923,0.0234,7.12e-06,0.129,0.262,128.981,audio_features,6PNyPe4QERU7hqMQU05vJE,spotify:track:6PNyPe4QERU7hqMQU05vJE,https://api.spotify.com/v1/tracks/6PNyPe4QERU7hqMQU05vJE,https://api.spotify.com/v1/audio-analysis/6PNyPe4QERU7hqMQU05vJE,147748,4
3340,Jungle P (第326話〜372話 OP),2019-08-11 06:07,Yuuki Okamoto,Jungle P (第326話〜372話 OP),2623,2019-08-11 06:07:00,0.588,0.937,6,-1.707,1,0.0797,0.0781,0.0,0.359,0.89,144.968,audio_features,7acjxFn1oZOn8QAv43DOcN,spotify:track:7acjxFn1oZOn8QAv43DOcN,https://api.spotify.com/v1/tracks/7acjxFn1oZOn8QAv43DOcN,https://api.spotify.com/v1/audio-analysis/7acjxFn1oZOn8QAv43DOcN,195310,4
3341,ヒカリへ (第116話〜168話 OP),2019-08-11 06:07,Muray,ヒカリへ (第116話〜168話 OP),1834,2019-08-11 06:07:00,0.558,0.907,5,-3.127,1,0.0374,0.00358,1.32e-06,0.122,0.5,94.497,audio_features,68LQO4WzR0CLjt2knfsbhQ,spotify:track:68LQO4WzR0CLjt2knfsbhQ,https://api.spotify.com/v1/tracks/68LQO4WzR0CLjt2knfsbhQ,https://api.spotify.com/v1/audio-analysis/68LQO4WzR0CLjt2knfsbhQ,223277,4
3342,One Day (One Piece Opening 13),2019-08-11 06:07,PelleK,One Day (One Piece Opening 13),1369,2019-08-11 06:07:00,0.452,0.69,11,-6.551,1,0.0398,0.0078,0.00154,0.086,0.64,177.907,audio_features,602k5g4l0ti7TDfAqH25jZ,spotify:track:602k5g4l0ti7TDfAqH25jZ,https://api.spotify.com/v1/tracks/602k5g4l0ti7TDfAqH25jZ,https://api.spotify.com/v1/audio-analysis/602k5g4l0ti7TDfAqH25jZ,153321,4
3343,Share The World! (One Piece Opening 11),2019-08-11 06:07,PelleK,Share The World! (One Piece Opening 11),1648,2019-08-11 06:07:00,0.647,0.8,1,-6.669,1,0.0862,0.00151,0.000133,0.337,0.387,120.008,audio_features,62EprcHsFmf62N0mOkX37S,spotify:track:62EprcHsFmf62N0mOkX37S,https://api.spotify.com/v1/tracks/62EprcHsFmf62N0mOkX37S,https://api.spotify.com/v1/audio-analysis/62EprcHsFmf62N0mOkX37S,148495,4
3344,Kaze Wo Sagashite (One Piece Opening 12),2019-08-11 06:07,PelleK,Kaze Wo Sagashite (One Piece Opening 12),6199,2019-08-11 06:07:00,0.573,0.824,11,-6.19,1,0.147,0.0188,1.01e-05,0.204,0.581,158.043,audio_features,686By4owVHDDudZJ7yEEfy,spotify:track:686By4owVHDDudZJ7yEEfy,https://api.spotify.com/v1/tracks/686By4owVHDDudZJ7yEEfy,https://api.spotify.com/v1/audio-analysis/686By4owVHDDudZJ7yEEfy,150488,4
3345,Jungle P (One Piece Opening 9),2019-08-11 06:07,PelleK,Jungle P (One Piece Opening 9),51617,2019-08-11 06:07:00,0.609,0.791,1,-6.803,1,0.0827,0.0243,2.84e-05,0.385,0.61,144.996,audio_features,3ZpF75NARfqQKoydy2GhgP,spotify:track:3ZpF75NARfqQKoydy2GhgP,https://api.spotify.com/v1/tracks/3ZpF75NARfqQKoydy2GhgP,https://api.spotify.com/v1/audio-analysis/3ZpF75NARfqQKoydy2GhgP,152270,4
3346,Hands Up! (One Piece Opening 16),2019-08-11 06:23,PelleK,Hands Up! (One Piece Opening 16),16764,2019-08-11 06:23:00,0.597,0.797,4,-6.177,1,0.081,0.0178,0.000367,0.152,0.544,130.027,audio_features,2FrW2uVZTCZ9pjCISukgB3,spotify:track:2FrW2uVZTCZ9pjCISukgB3,https://api.spotify.com/v1/tracks/2FrW2uVZTCZ9pjCISukgB3,https://api.spotify.com/v1/audio-analysis/2FrW2uVZTCZ9pjCISukgB3,152059,3
3347,ウィーアー!,2019-08-11 06:23,AAA,ウィーアー!,97152,2019-08-11 06:23:00,0.332,0.975,8,-6.182,1,0.106,0.206,0.0,0.981,0.268,167.874,audio_features,42esJ6BgSoV1DS3Onns03h,spotify:track:42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/tracks/42esJ6BgSoV1DS3Onns03h,https://api.spotify.com/v1/audio-analysis/42esJ6BgSoV1DS3Onns03h,262013,4
3348,"Binks' sake (From ""One Piece"")",2019-08-11 06:23,Taylor Davis,"Binks' sake (From ""One Piece"")",6013,2019-08-11 06:23:00,0.634,0.405,3,-7.579,1,0.03,0.82,0.268,0.251,0.669,111.978,audio_features,10k0lsnn9CkcPsmEN8EHXa,spotify:track:10k0lsnn9CkcPsmEN8EHXa,https://api.spotify.com/v1/tracks/10k0lsnn9CkcPsmEN8EHXa,https://api.spotify.com/v1/audio-analysis/10k0lsnn9CkcPsmEN8EHXa,174347,4
3349,Over the Top (One Piece),2019-08-11 06:25,Miura Jam,Over the Top (One Piece),120419,2019-08-11 06:25:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3350,Over the Top (One Piece),2019-08-11 06:27,Miura Jam,Over the Top (One Piece),127150,2019-08-11 06:27:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3351,Over the Top (One Piece),2019-08-11 06:28,Miura Jam,Over the Top (One Piece),24774,2019-08-11 06:28:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3352,Over the Top (One Piece),2019-08-11 14:47,Miura Jam,Over the Top (One Piece),102373,2019-08-11 14:47:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3353,Over the Top (One Piece),2019-08-11 14:53,Miura Jam,Over the Top (One Piece),112209,2019-08-11 14:53:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
3354,Over the Top (One Piece),2019-08-11 18:10,Miura Jam,Over the Top (One Piece),129557,2019-08-11 18:10:00,0.504,0.919,10,-5.983,0,0.0733,6.59e-05,0.0,0.0926,0.538,105.968,audio_features,3KUGTXTRqa8DuVtqgJkPAy,spotify:track:3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/tracks/3KUGTXTRqa8DuVtqgJkPAy,https://api.spotify.com/v1/audio-analysis/3KUGTXTRqa8DuVtqgJkPAy,123429,4
